P30615	Pyruvate kinase 1
Q96RU2	Deubiquitinating enzyme 28
P05803	N9 Neuraminidase
A1TY68	Anti ECFsigma factor ChrR
P05805	Procarboxypeptidase A S6
P05804	Beta glucuronidase
P05806	Neutral protease
G0S133	YSF3
Q66GT5	PTEN like phosphatase
Q8IDG2	Proteasome subunit alpha type
Q9Y5A7	NEDD8 ultimate buster 1
A5Y2E1	Putative uncharacterized protein
Q4K4F7	MdcC
Q13643	Four and a half LIM domains 3
Q13642	FHL1 protein
Q65D11	L amino acid ligase BL00235
Q9Y5A9	CLL associated antigen KW 14
Q9SID3	Glyoxalase II
P19696	Hemagglutinin
Q02127	Dihydroorotate oxidase
Q02129	ATP phosphoribosyltransferase
Q877H3	HYPOTHETICAL P60 KATANIN
Q877H2	Chaperonin beta subunit
Q877H0	Chaperonin alpha subunit
Q7M729	Sodium channel subunit beta 4
P15183	Coat protein
P0A9G4	transcriptional regulator CueR
Q72LL6	2 aminoadipate transaminase
Q03456	Ferric uptake regulation protein
P0A9G6	Isocitrase
Q9ULV8	SH3 binding protein CBL 3
P10648	Glutathione S transferase A2
P10645	Chromogranin A
Q8E5F8	ESAT 6 like protein
P48556	p31
P10646	Extrinsic pathway inhibitor
P48551	interferon alpha beta receptor 2
P48552	Nuclear factor RIP140
Q813T0	Nucleotide pyrophosphohydrolase
Q813T7	Hypothetical Cytosolic Protein
Q9XVJ3	Dihydropteridine reductase
Q47765	Bacteriocin AS 48
W5QC38	Tubulin alpha chain
Q47764	aac6' Ii
A0A0B4JDC9	RIM binding protein isoform F
P06959	E2
A7X5G6	30S ribosomal protein S10
P40429	23 kDa highly basic protein
P0CX80	Copper thionein
E2RHY7	HSP47
Q7CTE6	AGR_L_2016p
O58562	Hypothetical protein PH0832
P69726	R ORF protein
Q03988	MOSQUITOCIDAL TOXIN
O25318	TIP ALPHA
P13175	Polymerase acidic protein
Q9BR01	Nervous system sulfotransferase
P16521	Yeast elongation factor 3
Q9Y296	TRS23 homolog
Q9Y297	E3RSIkappaB
Q9Y294	ASF1A protein
P16525	TUS PROLINE REPEAT
P9WK45	Lipoprotein LprG
P16528	Acetate operon repressor
Q6CK86	KLLA0F12672p
Q12518	Epsin 1
Q6ICB0	Protein FAM152B
P52860	50S ribosomal protein L3
P0AB65	Acylphosphate phosphohydrolase
P0AB64	Protein YciN
Q12517	mRNA decapping enzyme subunit 1
Q68WT4	Putative Hydrolase
Q9I6X0	Histidine porin OpdC
A0A0H3AIH3	TolA protein
H2EMX8	Deoxycytidine deaminase
P35077	TpsB transporter
Q3T920	D alanylalanine synthetase
Q9JIL4	PDZ domain containing protein 1
P35070	Probetacellulin
A0A0H3G6B0	3 hydroxyacyl CoA dehydrogenase
E0X765	Ribonuclease H
Q9DB00	GON 4 like protein
E0X767	Ribonuclease H
Q0GBY3	Phosphoprotein
P10220	deneddylase
O23512	Methylesterase 16
P11998	riboflavin synthase
Q5KZF0	Pirin like protein
Q8ILV2	60S ribosomal protein uL16
P55055#Q15596	Liver X receptor beta
P0AEX9#P17813	MMBP
Q91B42	EQUINE RHINITIS A VIRUS
P9WMF1	MarR family protein Rv0880
O26779	Exosome complex component Rrp41
K9NIA5	Ps01740
O26778	Exosome complex component Rrp42
P9WMF8	Dormancy Survival Regulator
C6L8R0	Hemoglobin subunit alpha A
P05386	60S acidic ribosomal protein P1
P17693	MHC class I antigen G
P0A7G6	Recombinase A
Q5YNS8	Cytochrome P450 monooxygenase
P0A7G2	Ribosome binding factor A
P17695	Glutaredoxin 2
P17694	Complex I 49kD
P20132	L threonine dehydratase
P20136	GST class mu
O59893	Acetylxylan esterase 2
O26771	ThermoNicotianamine Synthase
B3VH91	Methylglyoxal synthase
P02763	Orosomucoid 1
Q4CQW2	60S ribosomal protein L4
Q8IYD1	GSPT1 protein
O75398	Suppressin
P78774	p41 ARC
O75391	Sperm associated antigen 7
Q8IYD8	ATP dependent RNA helicase FANCM
O75396	ER Golgi SNARE of 24 kDa
P67042	Thymidylate synthase
Q8IVD9	NudC domain containing protein 3
Q9Z6N8	Chaperone SycD
Q47673	trwC
A7KV39	Mobile intron protein
A0A0R4I968	Frutalin
B9K7M5	Beta glucosidase
A0A024E3P0	Hemagglutinin
A0A0R4I960	allophycocyanin beta chain
A0A0R4I961	FimH protein
A0A0R4I963	Helix aspersa agglutinin HAA
Q9SE00	Purple acid phosphatase 1
Q0PC47	Putative lipoprotein
Q02224#Q15691	End binding protein 1
G0S4E3	Fcf2
Q9BSD7	Human Cancer related NTPase
C6W4J3	Uncharacterized protein
Q5NHG5	Thioredoxin reductase
P0A877	Tryptophan synthase alpha chain
P0A870	Transaldolase
P0A873	M1G methyltransferase
P0A879	Tryptophan synthase beta subunit
Q6CRR9	KLLA0D06941p
A0A076YIY5	Beta lactamase
Q7D182	AGR_C_984p
O77395	40S ribosomal protein uS8
B2HSY2	Malate synthase G
B3Y963	Nitric oxide reductase
B4E5S2	Maf like protein BCAL2394
P43211	Allergen Mal d I
Q8A5I0	Putative lipoprotein
Q9C9G4	Deoxyribonuclease ENDO2
Q7NMP6	Thioredoxin reductase
A0A0H2UPY9	Hypothetical protein
A6LHT4	Leucine aminopeptidase
A0A0H2UPY5	Macrolide efflux protein
O77392	Pyrophosphate phospho hydrolase
A0A0H2UPY1	GTP pyrophosphokinase
P0CG05	Ig lambda chain C region SH
Q81Q99	Acetyltransferase GNAT family
Q14002	Carcinoembryonic antigen CGM2
B7TQM6	APOBEC3H
Q14004	Cyclin dependent kinase 13
Q14005	interleukin 16
Q9H3P7	Golgi resident protein GCP60
P60770	Cobrotoxin
Q9H3P2	Negative elongation factor A
P60775	Short neurotoxin 1a
Q9HIZ7	Homoserine dehydrogenase
Q9Z270	33 kDa VAMP associated protein
Q9Z272	GRK interacting protein 1
Q185U9	Putative acetyltransferase
Q9NIH4	La protein
P49407	Beta arrestin 1
P49406	bL19
P72760	CcmK1 C terminal deletion mutant
A0A5B9#P04213	2C m33 beta VmCh chimera
Q9WVL0	Maleylacetoacetate isomerase
P56930	50S ribosomal protein L25
F2Z5G5	Arp1
Q2G1L5	Uncharacterized protein
Q9QUN7	Toll like receptor 2
P37081	EIII B Sor
Q9QUN3	Lymphocyte antigen 57
C1CZ84	IrrE protein
P37088	Alpha NaCH
Q9ZZW7	Cytochrome b mRNA maturase bI3
O69946	Putative DNA binding protein
B6DRA0	Gag polyprotein
Q25163	HAEMADIN
A0A0C6AG41	Pry1p
P75931	Putative oxidoreductase YceM
Q8R9P5	Serine protease inhibitor
Q8RQE7	RNA polymerase omega subunit
A6KX05	Hypothetical glycoside hydrolase
Q8RQE9	Transcriptase subunit beta
Q8RQE8	RNA polymerase subunit beta'
Q81E32	Methyltransferase
O59580	NTPASE
E1VBK4	universal stress protein TeaD
A0A0U4DG08	NS3 helicase
Q65ZC0	immunoglobulin LIGHT CHAIN
A6TFN2	Nucleoid occlusion factor SlmA
P22886	PROTEIN Integrase
P22887	Nucleoside diphosphate kinase
Q8SXK5	PHOTOLYASE
P75682	Uncharacterized protein YagE
Q9YV12	RT313 peptide
Q20IJ2	type II methyltransferase
P25359	Exosome complex component RRP43
P0DKI3	PUTATIVE Tropinone REDUCATSE
Q9BYT8	Neurotensin endopeptidase
Q72IN1	50S ribosomal protein L13
O35795	Ecto ATP diphosphohydrolase 2
T0D7A2	AacC2c1
Q749I7	Sensor protein
A0A0H3KED7	50S ribosomal protein L29
O70274	Protein tyrosine phosphatase 4a2
C4P954	SDAI RESTRICTION ENDONUCLEASE
D6DYI9	Amy13K
P06601	paired protein
Q8PK08	General stress protein
P06608	L asparagine amidohydrolase
Q5NCY0	JmjC domain containing protein 3
Q8DQK6	hypothetical protein spr0628
Q9EXR9	glutamyl endopeptidase
Q7P141	Uncharacterized protein
Q04439	myosin 5 isoform
O33434	Sulfur oxidizing protein A
Q9ESN4	Complement C1q like protein 3
A0A0H3MGJ5	CT009
Q9NV23	Oleoyl ACP hydrolase
Q8AYD0	Vascular endothelial cadherin
Q5SLP1	Ribonuclease TTHA0252
Q5SLP7	50S ribosomal protein L1
Q5SLP6	50S ribosomal protein L11
Q5SLP9	Single strand binding protein
Q5SLP8	S6 ribosomal protein
J3QW32	unknown protein
J3QW33	Autophagy protein 5
J3QW31	KmAtg10
G0S0R6	Dynein Light Intermediate Chain
Q9UQ26	Rab 3 interacting protein 3
Q99LI7	CF 1 77 kDa subunit
P18477	Fimbrial subunit type 1
P18474	P2
P31016	Postsynaptic density protein 95
P31011	Beta tyrosinase
P31013	Beta tyrosinase
A0A0H3JTP0	PHOSPHOMETHYLPYRIMIDINE KINASE
A5LBQ0	GLYCOSIDE HYDROLASE
Q88JX8	Gallate degradation protein B
Q14155	COOL 1
Q0Z8U2	ribosomal protein uS3
Q04437	Yeast Ku80
Q04826	Bw 60
P25823	Maternal protein tudor
P25822	Maternal protein pumilio
Q3ZD73	AVRBS3
Q3ZD72	Hax3
Q59290	Beta 14 endoglucanase
P00520	Proline rich Peptide
P00523	pp60c src
P00525	pp60v src
P00524	src Tyrosine kinase
Q8VYF7	Protein WHIRLY 2
Q8XKU1	Triosephosphate isomerase
H8YRY9	VP1
Q129C0	Enoyl CoA hydratase
C4TPG1	Lumazine protein
O43914	DNAX activation protein 12
O43915	c Fos induced growth factor
O43918	Autoimmune regulator
Q9Y6G1	Transmembrane protein 14A
Q9Y6G3	mL42
Q9UKX7	nucleoporin 50 kDa
Q9FYU1	Fe hydrogenase
K5B926	Homoserine O acetyltransferase
Q8BCA3	Capsid
Q9I585	HYPOTHETICAL PROTEIN PA0856
O49453	hypothetical protein F20O9.120
Q6PHW0	Iodotyrosine dehalogenase 1
P0DOC6	LshC2c2
O13154	Focal adhesion protein of 52 kDa
P00299	Plastocyanin A
B7MCV7	30S ribosomal protein S12
Q6DSU1	Root meristem growth factor 2
Q72YY9	Acetyltransferase GNAT family
P19909#Q9UNA4	RAD30 homolog B
Q9WY19	Acyl carrier protein
Q5M5S4	putative Beta phosphoglucomutase
Q70KP4	Hemagglutinin esterase
P42013	Histidine containing protein
Q8E0N2	Beta glucuronidase
P45983	c Jun N terminal kinase 1
Q93SW9	Apocytochrome f
Q97Z17	Uncharacterized protein
Q97Z18	DsrE DsrF like family protein
A0QJI1	Phosphoserine phosphatase
Q87RI8	Uncharacterized protein VP0806
P08190	FimG
P08191	FimH
P08192	FolC Bifunctional protein
P08194	Glycerol 3 phosphate transporter
Q5USN7	Cyclotide k1
P08197	Cytochrome c6
O60016	Cryptic loci regulator 4
P08199	Protein C23
O60015	Peroxin 4
P23371	PolyA polymerase large subunit
P23370	30S ribosomal protein S6
B1WBP0	Metallophosphoesterase MPPED2
Q73VY8	long chain acyl CoA carboxylase
Q8IL32	heat shock protein putative
A0R4Q6	P450 HEME THIOLATE PROTEIN
P75103	UPF0134 protein MPN_010
F4Y426	CurJ
P82615	Latherin
P0A4M0	DNA gyrase subunit B
Q9UEF7	Klotho
A4PB64	NADPH sorbose reductase
Q7DB77	Secreted effector protein Tir
P46678	TFIIIB90
I2BPL4	Transcriptional regulator I2
Q8TG94	laccase
I0B7N4	Hemagglutinin
Q93IE7	Glucanase Chitosanase
Q81TQ7	Globin
Q9RHV9	Lysine tRNA ligase
Q57609	GTP cyclohydrolase III
Q81N16	Maltose O acetyltransferase
C4M622	Diaphanous protein
Q9UZK4	ATP AMP transphosphorylase
Q5LGP1	Glutamine synthetase
Q6ZUM4	SH3 domain containing protein 20
Q62735	Farnesol receptor HRR 1
P41092	60S ribosomal protein L27a
P41093	60S ribosomal protein L18a
Q3IZT6	Glutathione S transferase
P41094	40S ribosomal protein S18
A0A0H3K174	2 dehydropantoate 2 reductase
P09001	uL3
Q8NRD3	Putative O Methyltransferase
Q9RYK2	Carboxylase
Q923B0	hypothetical protein
P40327	Tat binding homolog 5
Q304P7	Aspartate aminotransferase
Q54AI1	Heme oxygenase
Q1M2P5	Der f 13
Q4U331	ureidoglycolate dehydrogenase
V9P0A9	CHALCONE ISOMERASE
G2QJR6	Glucuronoyl esterase 2
P15790	Casein kinase II subunit alpha
I6Y7L1	Chaperone protein DnaK
P03172	Envelope glycoprotein D
P03170	Vmw12
P03176	Thymidine kinase
P38940	Neopullulanase
Q2YXJ2	50S ribosomal protein L28
A2RQE2	Chymotrypsin
Q5TLE4	Interleukin 22
P04995	DNA deoxyribophosphodiesterase
P04993	RecBCD enzyme subunit RecD
Q6CMU6	Histone H4
Q06911	Antirepressor protein CarS
P85130	Kalata B12
Q8AAV8	transcriptional regulator AraR
A0A045HUG3	30S ribosomal protein S14 type Z
Q9R002	Interferon activable protein 202
A2RJT9	Dihydroorotate dehydrogenase A
P0A6X7#P0A6Y1	Integration host factor
Q49VW8	Integrase
Q8N5Y2	Male specific lethal 3 homolog 1
Q8N5Y8	Poly [ADP ribose] polymerase 16
Q9I4D2	hypothetical protein PA1206
Q9I4D6	Probable hydrolase
Q9I4D4	conserved hypothetical protein
Q980C1	50S ribosomal protein L14e
O70133	RNA helicase A
Q9HPW4	VNG1446H
Q9HIA5	Lipoamide acyltransferase
Q9HIA0	uncharacterized protein Ta1441
A6L2E5	glycoside hydrolase
A1ZAW5	Icln
Q182D4	histidine triad HIT protein
Q60257	UPF0310 protein MJECL36
A0A0G2JF94#Q6PIR9	null#null
D0CY07	Peptidase M24
Q6CTI2	CENP A homolog
P38230	Probable quinone oxidoreductase
Q7X0F0	C.AhdI
Q9X721	COLLAGENASE G
Q3M7B8	Hypothetical protein
P39729	GTP binding protein RBG1
Q03Q50	Deoxyribose phosphate aldolase
Q146K3	8 amino 7 oxononanoate synthase
A0A045KJ85	50S ribosomal protein L20
A0QLU8	Acetate kinase
Q7BSW5	Serine protease EspP
Q38BV6	Enolase
D0C9L6	Peptidyl tRNA hydrolase
C1DM33	Type III polyketide synthase
Q7LDG7	F25B3.3 kinase like protein
C0STU6	two domain type laccase
C0MNC6	Putative angiotensinogen
O53896	PROBABLE SERINE PROTEASE PEPD
O76476	chemosensory protein CSP sg4
P05221	Nucleoplasmin NLS
P17901	Cellulase A
P17900	Ganglioside GM2 activator
P58548	Mating pheromone Er 22
D0VWS6	va387 polypeptide
D0VWS7	rRNA N glycosidase
D0VWS4	Cyclophilin
D0VWS2	Beta chain hemoglobin
D0VWS3	hemoglobin alpha
D0VWS0	Titin
D0VWS8	Uncharacterized protein
D0VWS9	Putative oxidoreductase
Q13029	PR domain containing protein 2
I6V3Q6	SEPF LIKE PROTEIN
Q9BXL7	CARD containing MAGUK protein 1
Q0PQZ5	Dihydropyrimidinase
Q82ZP8	transcriptional regulator SlyA
A1RUM9	UDP glucose 6 dehydrogenase
Q65914	Protein IV
A5J036	LAGLIDADG endonuclease
P46072	FRASE I
P46075	Fungalysin mep
P46076	Neutral protease 2
Q9NPI8	Fanconi anemia group F protein
Q92522	Histone H1x
Q70A61	GAG PROTEIN
P45523	Rotamase
P98052	Cytochrome c ba3 subunit II
Q04JH4	Triosephosphate isomerase
P28817	mS47
A0A084CH09	Siderophore interacting protein
P28814	Barwin
Q30V63	Putative acetyltransferase
P04176	Phe 4 monooxygenase
P04177	Tyrosine 3 monooxygenase
Q831K8	Lipoprotein
P04170	Rubredoxin 1
P04171	Pseudoazurin
Q04660	ribosome biogenesis protein ERB1
P15412	Rubredoxin
P15411	Bombyxin A 2
P04179	MANGANESE Superoxide dismutase
P43803	Protein translocase subunit SecA
P00885	KDPG aldolase
P00883	Muscle type aldolase
Q8VW85	Amine Dehydrogenase
D0UYB8	Gamma S crystallin
Q8VW87	Beta fructofuranosidase
Q14242	PSGL 1 PEPTIDE
A5J299	Nucleoside diphosphate kinase
Q8VW82	Amine Dehydrogenase
P00889	Citrate synthase
Q1Q0T4	HYDRAZINE SYNTHASE BETA SUBUNIT
Q9WPJ0	Capsid protein VP3
P62532	PROTEIN PROTEIN PapK
Q5PXQ6	Hydroxyquinol 12 dioxygenase
Q56F26	Exochitinase
Q9Z2G6	Protein sel 1 homolog 1
E1C9K6	Putative uncharacterized protein
B8MX95	Glucose oxidase putative
Q12373	HAT1 interacting factor 1
Q7RTN6	STE 20 related ADAPTOR
Q12377	Proteasome non ATPase subunit 4
Q1Q0T3	HYDRAZINE SYNTHASE GAMMA SUBUNIT
Q96LT9	RNA binding protein 40
Q4G0P3	HYDIN protein
O94953	Lysine specific demethylase 4B
Q14790	Caspase 8 P10 SUBUNIT
Q5NE65	Aminopeptidase N
Q9GT24	Zygote defective protein 1
Q12080	Nucleolar protein 53
P16298	CAM PRP catalytic subunit
P16293	Coagulation factor IXA
Q16790	Carbonic anhydrase 9
O93634	Flap endonuclease 1
H8XX12	NS2B cofactor
A0R1R4	Enoyl CoA hydratase
P62280	ribosomal protein US17
Q9LMA8	JAZ1 incomplete degron peptide
F5H948	Lipoprotein RagB
B3A0L5	Kappa buthitoxin Tt2b
B9PNL1	Ribosomal protein eS7
O67709	Protein aq_1857
Q5RZ08	Protease
Q744G1	Anti sigma factor antagonist
S5ZCI0	Capsid protein VP3
Q314Q8	Putative Nitroreductase
P79552	MHC class II antigen
A0A0B5AC95	Insulin 1
Q9K8I2	BH3024
A7BBB2	Lipoprotein
Q9VTP4	60S ribosomal protein L10a 2
P14421	agkistrodotoxin
P14420	Vipoxin toxic component
Q6SLM1	Basic phospholipase A2 2
Q6SLM0	Basic phospholipase A2 3
Q87TF0	Sensor protein
Q6SLM2	Acidic phospholipase A2 1
P14429	QA 2 antigen
Q3JRF0	methionine R sulfoxide reductase
F1RY70	MRPL21
Q63K37	Translocator protein BipD
Q13568	Interferon regulatory factor 5
Q13569	Thymine DNA glycosylase
O95777	LSm8
Q13564	Proto oncogene protein 1
Q8WWA0	Intelectin 1
Q13563	Polycystwin
Q43998	Levansucrase
O59000	SAM dependent methyltransferase
E9BAV6	ribosomal protein S8
Q9D7P6	NifU like protein
O80337	ATERF1
Q9WYA0	DNA polymerase III subunit beta
Q9LCV9	carboxyethylarginine synthase
Q8KBL4	RuBisCO like protein
O00204	Alcohol sulfotransferase
Q9WYA6	METHIONINE SYNTHASE
Q2SI73	Response regulator
B3VHM9	Albumin
A0A0M3KL49	FAB4201 HEAVY CHAIN
Q60692	Low molecular mass protein 19
A0A0M3KL48	FAB4201 HEAVY CHAIN
Q81AZ1	Oxidoreductase
B7MJ81	Acyl carrier protein
A0A0Z8EWX1	Radical SAM
A0A0M3KL47	CHLORITE DISMUTASE
Q7MP98	Arginine repressor
A0A0M3KL45	Choline utilization protein C
A0A0J9X295	DYNACTIN
D0C9D6	Response regulator RstA
P77366	Beta phosphoglucomutase
G8JLU6	Papain like Cysteine Protease
A0A0M3KL42	exotoxin 6
Q9RYV5	NH3 dependent NAD+ synthetase
A0A0M3KL41	Betaine aldehyde dehydrogenase
Q6N5G1	RphyB protein
Q6N5G2	Sensor protein
O11457	GP12
Q44501	Dimeric 2Fe 2S protein
Q980K5	RNase L inhibitor
P24319	ribosomal protein S8
Q81KC6	BmrU protein
P21149	Ferredoxin
P24316	50S ribosomal protein L6
P18272#Q05323	P18272:
I1ZJ30	Amylase binding protein AbpA
Q00578	DNA repair helicase RAD25
Q90125	Structural protein VP1
Q90121	Killer protein 4
Q8XAS4	Deferrochelatase peroxidase EfeB
Q9UID3	Protein fat free homolog
A6X980	Transcription factor C subunit 7
P03561	Coat protein
B4EA88	Lipoprotein
D0VV09	Chitinase A
Q9L5C8	Beta lactamase CTX M 9a
Q9R0M6	Sid 99
E7ESL0	uL22m
A3EP82	Uncharacterized protein
Q80W21	GST class mu 7
Q9L5C7	CTX M 14 Class A Beta lactamase
Q2VY22	PHYTASE
O96940	Glutamate dehydrogenase
O88491	H4 K20 HMTase
S3Z901	Putative oxidoreductase YfjR
Q46865	Endoribonuclease MqsR
Q46864	Antitoxin MqsA
Q9GZM8	Mitosin associated protein 1
P35604	Coatomer subunit zeta 1
P35609	Alpha actinin 2
Q81X75	Phosphoglycerate kinase
Q6P1M3	HGL
P32951	secreted aspartic protease
Q5KWC1	DNA polymerase
Q5SM28	Prolyl tRNA synthetase
Q4Q067	hypothetical protein
A7SLZ2	Stimulator of interferon genes
Q5SM23	GTPase Era
P95648	Protein CbbX
Q5SM21	manganese free pseudocatalase
Q5L9W9	hypothetical protein
Q2FW29	50S ribosomal protein L36
Q2FW20	30S ribosomal protein S8
Q5NGZ6	Peptidyl tRNA hydrolase
Q2FW22	50S ribosomal protein L18
Q9ZN18	AGMATINE DEIMINASE
Q145Q0	D serine deaminase
P57083	Envelope glycoprotein D
O08665	Semaphorin D
P9WPC3	Endopeptidase Clp 2
P9WPC2	Endopeptidase Clp 2
I6YCA3	Acyl CoA dehydrogenase
I3FJN1	QsrR protein
P9WPC5	Endopeptidase Clp 1
P9WPC4	Endopeptidase Clp 1
Q47730	ORF18
Q5YUF0	Putative uncharacterized protein
P20366	Substance P
A3EYI7	Antifreeze protein 13
P06820	Neuraminidase N2
A6LAN0	GDSL like Lipase
Q27709	Obelin
P06828	Fusion glycoprotein
Q6CVZ5	KLLA0B08173p
B9WZW9	AVR Pia protein
P0AEX9#P54252	MMBP
J9P950	LIPOCALIN ALLERGEN
P71913	RIBOKINASE RBSK
P32372	P74
O85465	Endoglucanase 5A
P32379	Proteinase YSCE subunit PUP2
G1SE76	Uncharacterized protein
A7V626	hypothetical protein
Q99P58	Ras related protein Rab 27B
O43598	c Myc responsive protein RCL
Q689C6	putative activator of HSP90
Q689C4	PFC0360w protein
A7KT63	Sortase C
O43597	sprouty 2 SPRY2
